fullNameSp,dirFullPath,shortName,genomeName
Colletotrichum_chrysophilum_KNSL1,/isilon/cfia-ottawa-fallowfield/users/girouxeml/References/colletotrichum/Colletotrichum_chrysophilum_KNSL1,Colletotrichum_KNSL1,Colletotrichum_KNSL1.scaffolds.fa
Colletotrichum_nupharicola_CBS470a,/isilon/cfia-ottawa-fallowfield/users/girouxeml/References/colletotrichum/Colletotrichum_nupharicola_CBS470a,Colletotrichum_CBS470a,Colletotrichum_CBS470a.scaffolds.fa
Colletotrichum_noveboracense_Brms1b,/isilon/cfia-ottawa-fallowfield/users/girouxeml/References/colletotrichum/Colletotrichum_noveboracense_Brms1b,Colletotrichum_Brms1b,Colletotrichum_Brms1b.scaffolds.fa
Colletotrichum_nupharicola_col922a,/isilon/cfia-ottawa-fallowfield/users/girouxeml/References/colletotrichum/Colletotrichum_nupharicola_col922a,Colletotrichum_922a,Colletotrichum_922a.scaffolds.fa
Colletotrichum_chrysophilum_AFK154_col154,/isilon/cfia-ottawa-fallowfield/users/girouxeml/References/colletotrichum/Colletotrichum_chrysophilum_AFK154_col154,Colletotrichum_COL154,Colletotrichum_COL154.scaffolds.fa
Colletotrichum_fioriniae_ACFK5_col5a,/isilon/cfia-ottawa-fallowfield/users/girouxeml/References/colletotrichum/Colletotrichum_fioriniae_ACFK5_col5a,Colletotrichum_COL_5a,Colletotrichum_COL_5a.scaffolds.fa
Colletotrichum_fioriniae_ACFK16_col16b,/isilon/cfia-ottawa-fallowfield/users/girouxeml/References/colletotrichum/Colletotrichum_fioriniae_ACFK16_col16b,Colletotrichum_COL_16b,Colletotrichum_COL_16b.scaffolds.fa
Colletotrichum_noveboracense_col940,/isilon/cfia-ottawa-fallowfield/users/girouxeml/References/colletotrichum/Colletotrichum_noveboracense_col940,Colletotrichum_COL940,Colletotrichum_COL940.scaffolds.fa
Colletotrichum_noveboracense_H109,/isilon/cfia-ottawa-fallowfield/users/girouxeml/References/colletotrichum/Colletotrichum_noveboracense_H109,Colletotrichum_H109,Colletotrichum_H109.contigs.fsa
Colletotrichum_chrysophilum_26b,/isilon/cfia-ottawa-fallowfield/users/girouxeml/References/colletotrichum/Colletotrichum_chrysophilum_26b,Colletotrichum_26b,Colletotrichum_26b.scaffolds.fa
